# Parsed DOID file.
# Columns are source id, dest id.
DOID:0050932	DOID:3905
DOID:0050933	DOID:4001
DOID:0050934	DOID:4001
DOID:0050935	DOID:371
DOID:0050936	DOID:5719
DOID:0050937	DOID:5875
DOID:0050938	DOID:3459
DOID:0050939	DOID:9460
DOID:0050940	DOID:7519
DOID:0050941	DOID:0050952
DOID:0050942	DOID:0050952
DOID:0050943	DOID:0050952
DOID:0050944	DOID:0050952
DOID:0050945	DOID:0050952
DOID:0050946	DOID:0050950
DOID:0050947	DOID:10609
DOID:0050948	DOID:10609
DOID:0050949	DOID:10609
DOID:0050950	DOID:0050951
DOID:0050951	DOID:1289
DOID:0050952	DOID:0050951
DOID:0050953	DOID:0050951
DOID:0050954	DOID:1441
DOID:0050955	DOID:1441
DOID:0050956	DOID:1441
DOID:0050957	DOID:1441
DOID:0050958	DOID:1441
DOID:0050959	DOID:1441
DOID:0050960	DOID:1441
DOID:0050961	DOID:1441
DOID:0050962	DOID:1441
DOID:0050963	DOID:1441
DOID:0050964	DOID:1441
DOID:0050965	DOID:1441
DOID:0050966	DOID:1441
DOID:0050967	DOID:1441
DOID:0050968	DOID:1441
DOID:0050969	DOID:1441
DOID:0050970	DOID:1441
DOID:0050971	DOID:1441
DOID:0050972	DOID:1441
DOID:0050973	DOID:1441
DOID:0050974	DOID:1441
DOID:0050975	DOID:1441
DOID:0050976	DOID:1441
DOID:0050977	DOID:1441
DOID:0050978	DOID:1441
DOID:0050979	DOID:1441
DOID:0050980	DOID:1441
DOID:0050981	DOID:1441
DOID:0050982	DOID:1441
DOID:0050983	DOID:1441
DOID:0050984	DOID:1441
DOID:0050985	DOID:1441
DOID:0050986	DOID:1441
DOID:0050987	DOID:1441
DOID:0050988	DOID:1441
DOID:0050989	DOID:963
DOID:0050990	DOID:963
DOID:0050991	DOID:963
DOID:0050992	DOID:963
DOID:0050993	DOID:963
DOID:0050994	DOID:963
DOID:0050995	DOID:963
DOID:0050996	DOID:963
DOID:0050997	DOID:0050950
DOID:0050998	DOID:0050753
DOID:0050999	DOID:0050950
DOID:0060000	DOID:10314
DOID:0060001	DOID:303
DOID:0060002	DOID:626
DOID:0060004	DOID:438
DOID:0060005	DOID:417
DOID:0060006	DOID:627
DOID:0060007	DOID:627
DOID:0060008	DOID:627
DOID:0060009	DOID:627
DOID:0060010	DOID:628
DOID:0060011	DOID:627
DOID:0060012	DOID:627
DOID:0060014	DOID:627
DOID:0060015	DOID:627
DOID:0060016	DOID:627
DOID:0060017	DOID:627
DOID:0060018	DOID:627
DOID:0060019	DOID:627
DOID:0060021	DOID:628
DOID:0060022	DOID:628
DOID:0060023	DOID:628
