DOID:0060185	MESH:D004761
DOID:9423	MESH:D001762
DOID:13801	MESH:D000258
DOID:1176	MESH:D001982
DOID:302	MESH:D019966
DOID:305	MESH:D002277
DOID:305	MESH:D009375
DOID:1171	MESH:D006954
DOID:1172	MESH:D006953
DOID:3146	MESH:D008052
DOID:308	MESH:D004831
DOID:11832	MESH:D012640
DOID:11831	MESH:D019575
DOID:11830	MESH:D009216
DOID:1205	MESH:D006967
DOID:3141	MESH:D017520
DOID:5773	MESH:D009914
DOID:1192	MESH:D010524
DOID:1192	MESH:D018317
DOID:3140	MESH:D012592
DOID:9395	MESH:D003440
DOID:9392	MESH:D014136
DOID:9398	MESH:D004826
DOID:4873	MESH:D016472
DOID:4706	MESH:D015192
DOID:9884	MESH:D009136
DOID:11949	MESH:D007562
DOID:192	MESH:D018312
DOID:5870	MESH:D011657
DOID:5656	MESH:D003389
DOID:5875	MESH:D012186
DOID:3737	MESH:D018289
DOID:3733	MESH:D013801
DOID:1390	MESH:D006995
DOID:9370	MESH:D005094
DOID:833	MESH:D004428
DOID:1993	MESH:D012004
DOID:5477	MESH:D062625
DOID:4992	MESH:D020339
DOID:1998	MESH:D008185
DOID:9088	MESH:D010267
DOID:0050495	MESH:D005077
DOID:13097	MESH:D002537
DOID:13095	MESH:D014715
DOID:13094	MESH:D015356
DOID:9080	MESH:D008258
DOID:13099	MESH:D009072
DOID:13098	MESH:D015356
DOID:9775	MESH:D054144
DOID:0050700	MESH:D009202
DOID:4671	MESH:D005611
DOID:3933	MESH:D000868
DOID:4676	MESH:D014511
DOID:4677	MESH:D007634
DOID:2510	MESH:D020232
DOID:3842	MESH:D019292
DOID:3840	MESH:D003397
DOID:2519	MESH:D013733
DOID:2518	MESH:D009920
DOID:3025	MESH:D018267
DOID:4051	MESH:D018232
DOID:5500	MESH:D004806
DOID:5502	MESH:D010373
DOID:5505	MESH:D004806
DOID:13544	MESH:D057066
DOID:13543	MESH:D006961
DOID:6548	MESH:D008579
DOID:13548	MESH:D010302
DOID:12155	MESH:D008216
DOID:12157	MESH:D008582
DOID:12156	MESH:D001100
DOID:4903	MESH:D000230
DOID:4450	MESH:D002292
DOID:13404	MESH:D014608
DOID:3119	MESH:D004067
DOID:3119	MESH:D005770
DOID:13406	MESH:D017565
DOID:3114	MESH:D018284
DOID:3110	MESH:D018283
DOID:3111	MESH:D003536
DOID:3112	MESH:D000231
DOID:3113	MESH:D002291
DOID:705	MESH:D029242
DOID:9672	MESH:D009625
DOID:2862	MESH:D005955
DOID:2860	MESH:D006453
DOID:9778	MESH:D043183
DOID:3594	MESH:D002822
DOID:3596	MESH:D018245
DOID:700	MESH:D028361
DOID:3846	MESH:D003397
DOID:2649	MESH:D002804
DOID:12842	MESH:D020275
DOID:12841	MESH:D000724
DOID:3847	MESH:D003397
DOID:2643	MESH:D054973
DOID:3534	MESH:D020192
DOID:2640	MESH:D013330
DOID:4359	MESH:D018328
DOID:12849	MESH:D001321
DOID:2889	MESH:D012181
DOID:11383	MESH:D003456
DOID:11382	MESH:D016510
DOID:11387	MESH:D020802
DOID:11389	MESH:D013354
DOID:2883	MESH:D011470
DOID:13714	MESH:D000848
DOID:14067	MESH:D016778
DOID:13711	MESH:D009050
DOID:543	MESH:D004421
DOID:543	MESH:D020821
DOID:3209	MESH:D016109
DOID:14068	MESH:D001742
DOID:96	MESH:D013202
DOID:1657	MESH:D006345
DOID:2224	MESH:D013920
DOID:12932	MESH:D004719
DOID:12930	MESH:D002311
DOID:12935	MESH:D002310
DOID:10376	MESH:D000550
DOID:10375	MESH:D000550
DOID:10371	MESH:D015001
DOID:2089	MESH:D003248
DOID:6432	MESH:D006976
DOID:8593	MESH:D007951
DOID:10175	MESH:D010211
DOID:10176	MESH:D012173
DOID:2247	MESH:D055009
DOID:7165	MESH:D013968
DOID:3310	MESH:D003876
DOID:7365	MESH:D000796
DOID:11151	MESH:D041761
DOID:14472	MESH:D018804
DOID:11153	MESH:D008883
DOID:11155	MESH:D007007
DOID:11156	MESH:D007007
DOID:7698	MESH:C536126
DOID:154	MESH:D018198
DOID:150	MESH:D001523
DOID:14276	MESH:D019534
DOID:790	MESH:D015814
DOID:9784	MESH:D014235
DOID:7213	MESH:D008579
DOID:7212	MESH:D008579
DOID:13976	MESH:D004942
DOID:7210	MESH:D008579
DOID:8200	MESH:C536774
DOID:10952	MESH:D009393
DOID:1343	MESH:D014526
DOID:1342	MESH:D029502
DOID:10955	MESH:D013322
DOID:1340	MESH:D012010
DOID:1742	MESH:D011605
DOID:12711	MESH:D010854
DOID:12716	MESH:D006819
DOID:1749	MESH:D002294
DOID:1749	MESH:D018307
DOID:11029	MESH:D059407
DOID:10398	MESH:D010930
DOID:3528	MESH:D020243
DOID:10393	MESH:D010005
DOID:418	MESH:D012595
DOID:5082	MESH:D008103
DOID:8986	MESH:D009290
DOID:9965	MESH:D014123
DOID:9931	MESH:D014884
DOID:9410	MESH:C580003
DOID:14654	MESH:D011472
DOID:4908	MESH:D001005
DOID:374	MESH:D009748
DOID:14497	MESH:D015223
DOID:14495	MESH:D004377
DOID:11847	MESH:D003328
DOID:5264	MESH:D007890
DOID:11840	MESH:D003329
DOID:5268	MESH:D007890
DOID:13399	MESH:D003117
DOID:1235	MESH:D005329
DOID:1233	MESH:D014190
