# UNIPROT	ENSEMBL
Q6ZUS6	ENSP00000427529
Q6UWR7	ENSP00000296741
P30550	ENSP00000369643
Q9BZX4	ENSP00000424447
Q8N9L1	ENSP00000417855
Q9NXR8	ENSP00000341697
Q13610	ENSP00000448227
Q9Y4X0	ENSP00000361129
Q5SQI0	ENSP00000394357
Q8N9L1	ENSP00000420775
Q8NH02	ENSP00000331774
Q5SQI0	ENSP00000389129
P06681	ENSP00000402278
Q9Y4X0	ENSP00000361127
Q99767	ENSP00000483174
Q9NXR8	ENSP00000410406
Q8NF64	ENSP00000409648
Q86W92	ENSP00000445425
Q9Y2R2	ENSP00000433141
A1X283	ENSP00000309714
P46013	ENSP00000357642
Q99767	ENSP00000480384
Q9NVX2	ENSP00000413572
Q8N9L1	ENSP00000418277
Q8NGX1	ENSP00000330904
A6NP11	ENSP00000394248
Q8NGZ9	ENSP00000329210
Q86W92	ENSP00000314724
Q8IYS5	ENSP00000482734
Q8IYS5	ENSP00000482414
Q8IYS5	ENSP00000479317
Q07157	ENSP00000484535
P46013	ENSP00000357643
Q86W92	ENSP00000444046
Q8NF64	ENSP00000311778
Q8N8L2	ENSP00000313443
Q86W92	ENSP00000443442
P08670	ENSP00000224237
Q8IYS5	ENSP00000484602
Q9UIA9	ENSP00000252512
Q86W92	ENSP00000228425
Q6ZW61	ENSP00000319062
Q8N3J2	ENSP00000458290
A6NM15	ENSP00000366608
Q4V339	ENSP00000366608
Q8N9L1	ENSP00000397695
Q8NF64	ENSP00000265346
Q8N9L1	ENSP00000435509
Q9NX20	ENSP00000300151
Q6ZW61	ENSP00000438273
A8MXT2	ENSP00000382884
A8MXT2	ENSP00000382883
P08670	ENSP00000446007
Q96BZ8	ENSP00000483164
P51786	ENSP00000366273
Q6UXB1	ENSP00000344860
Q9P2D8	ENSP00000256339
Q93033	ENSP00000358482
Q494X3	ENSP00000466051
Q8IYS5	ENSP00000478594
Q14129	ENSP00000482514
Q8IYS5	ENSP00000481257
Q93033	ENSP00000256652
Q8IYS5	ENSP00000482460
Q9H061	ENSP00000436590
Q0VGL1	ENSP00000343118
Q9P2D8	ENSP00000451360
Q9P2D8	ENSP00000376858
Q969V4	ENSP00000341346
P24390	ENSP00000329471
Q8IYS5	ENSP00000478027
P24390	ENSP00000470841
P83876	ENSP00000269601
Q9P2D8	ENSP00000480937
Q9H061	ENSP00000306887
Q8NF64	ENSP00000414723
Q9H061	ENSP00000434357
Q9UGR2	ENSP00000345793
Q9Y2Z9	ENSP00000377594
Q5JTJ3	ENSP00000355572
Q9HCN6	ENSP00000482601
Q96JM7	ENSP00000431962
Q5JTJ3	ENSP00000355571
Q8TED9	ENSP00000296721
Q9HCN6	ENSP00000478709
Q9UI08	ENSP00000384720
Q96A70	ENSP00000294517
Q5VX71	ENSP00000344219
P04271	ENSP00000291700
O15016	ENSP00000299550
Q5JTJ3	ENSP00000479686
Q9UI08	ENSP00000437904
Q96JM7	ENSP00000437185
Q8TED9	ENSP00000424427
P58173	ENSP00000244623
P36222	ENSP00000255409
P04271	ENSP00000380769
Q96JM7	ENSP00000357121
Q96JM7	ENSP00000436706
Q7Z309	ENSP00000359826
Q96JM7	ENSP00000357118
Q99706	ENSP00000482454
Q99706	ENSP00000484469
Q99706	ENSP00000479874
Q9UI08	ENSP00000376652
Q96QE4	ENSP00000340519
Q96JM7	ENSP00000354526
Q14699	ENSP00000334153
Q86UE3	ENSP00000339823
Q9H967	ENSP00000263795
Q3ZCQ2	ENSP00000315915
Q7Z309	ENSP00000419592
O14832	ENSP00000380121
Q3ZCQ2	ENSP00000479862
Q5VX71	ENSP00000339926
Q9NPH2	ENSP00000337746
Q99959	ENSP00000342800
Q8WZ33	ENSP00000483280
Q9UBD0	ENSP00000359444
P06681	ENSP00000447632
Q9NPH2	ENSP00000415458
Q5VX71	ENSP00000355843
Q9UJT0	ENSP00000357651
Q9UPW8	ENSP00000429562
Q9NYV6	ENSP00000198767
Q9NPH2	ENSP00000475677
Q99959	ENSP00000070846
Q96QE4	ENSP00000378202
Q1HG44	ENSP00000319705
Q9Y334	ENSP00000411910
Q13330	ENSP00000333633
Q6ZMY9	ENSP00000435166
Q7Z309	ENSP00000298090
Q96BN6	ENSP00000242505
Q13330	ENSP00000384180
Q9NYV6	ENSP00000318484
Q1HG44	ENSP00000454110
O43895	ENSP00000360147
P0CG30	ENSP00000478389
Q9NYV6	ENSP00000454238
Q6ZMY9	ENSP00000436103
Q13085	ENSP00000483300
Q9BZQ8	ENSP00000356481
P31260	ENSP00000283921
Q9Y3R4	ENSP00000233840
O95867	ENSP00000388591
Q6ZMY9	ENSP00000353058
P57103	ENSP00000349392
P35556	ENSP00000424571
Q16637	ENSP00000428128
Q9BT30	ENSP00000245812
P57103	ENSP00000436332
P31260	ENSP00000379633
Q13085	ENSP00000482269
Q13330	ENSP00000393438
O43439	ENSP00000345810
P57103	ENSP00000370669
Q9HB58	ENSP00000258381
Q96T52	ENSP00000384966
P56703	ENSP00000478327
O95167	ENSP00000481545
Q96T52	ENSP00000329553
Q9HB58	ENSP00000351488
Q96T52	ENSP00000399353
P35556	ENSP00000262464
