# Gene_A	Gene_B	Weight
ENSG00000105877	ENSG00000113262	4.8E-3
ENSG00000108018	ENSG00000113262	4E-3
ENSG00000111700	ENSG00000113262	2.2E-3
ENSG00000109452	ENSG00000113263	7.1E-3
ENSG00000102935	ENSG00000113302	1.4E-2
ENSG00000099139	ENSG00000113319	1.4E-2
ENSG00000109452	ENSG00000113319	1.5E-2
ENSG00000072657	ENSG00000113327	8.3E-3
ENSG00000075884	ENSG00000113328	2.2E-3
ENSG00000086289	ENSG00000113328	4.1E-3
ENSG00000109452	ENSG00000113328	3.9E-3
ENSG00000009694	ENSG00000113360	6.3E-3
ENSG00000066032	ENSG00000113369	2.1E-2
ENSG00000075884	ENSG00000113391	1.5E-2
ENSG00000102935	ENSG00000113396	1.3E-2
ENSG00000075884	ENSG00000113441	1.5E-2
ENSG00000072657	ENSG00000113492	5.1E-3
ENSG00000113100	ENSG00000113492	7.5E-3
ENSG00000066032	ENSG00000113520	2.3E-2
ENSG00000113100	ENSG00000113578	5.9E-3
ENSG00000113396	ENSG00000113578	1.8E-2
ENSG00000111700	ENSG00000113657	1.5E-2
ENSG00000113100	ENSG00000113790	6.4E-3
ENSG00000041515	ENSG00000113805	4.5E-3
ENSG00000060709	ENSG00000113805	5E-3
ENSG00000067715	ENSG00000113805	5E-3
ENSG00000078328	ENSG00000113805	6.1E-3
ENSG00000080224	ENSG00000113805	4.7E-3
ENSG00000081803	ENSG00000113805	2.4E-3
ENSG00000095777	ENSG00000113805	4.9E-3
ENSG00000102290	ENSG00000113805	3.7E-3
ENSG00000105877	ENSG00000113805	6E-3
ENSG00000108018	ENSG00000113805	5.5E-3
ENSG00000108684	ENSG00000113805	2.7E-3
ENSG00000113396	ENSG00000113805	2.6E-3
ENSG00000086289	ENSG00000113838	1.2E-2
ENSG00000002746	ENSG00000113946	1.7E-2
ENSG00000013297	ENSG00000113946	1.3E-2
ENSG00000101333	ENSG00000113946	1.6E-2
ENSG00000002746	ENSG00000114019	3.8E-3
ENSG00000018236	ENSG00000114019	5.9E-3
ENSG00000041515	ENSG00000114019	4.2E-3
ENSG00000046889	ENSG00000114019	4.8E-3
ENSG00000060709	ENSG00000114019	4.6E-3
ENSG00000067715	ENSG00000114019	4.8E-3
ENSG00000067798	ENSG00000114019	4.8E-3
ENSG00000081803	ENSG00000114019	2.5E-3
ENSG00000105877	ENSG00000114019	5.4E-3
ENSG00000108684	ENSG00000114019	2.9E-3
ENSG00000106571	ENSG00000114113	1E-2
ENSG00000079841	ENSG00000114124	1.8E-2
ENSG00000041515	ENSG00000114200	6.6E-3
ENSG00000060718	ENSG00000114200	6.9E-3
ENSG00000102935	ENSG00000114200	4.5E-3
ENSG00000108018	ENSG00000114200	6.3E-3
ENSG00000111700	ENSG00000114200	3.6E-3
ENSG00000018236	ENSG00000114248	4.5E-3
ENSG00000042781	ENSG00000114248	2.4E-3
ENSG00000067798	ENSG00000114248	3.9E-3
ENSG00000078295	ENSG00000114248	4.5E-3
