# Gene_A	Gene_B	Weight
ENSG00000060709	ENSG00000272985	8.1E-3
ENSG00000013297	ENSG00000105376	9.3E-3
ENSG00000048052	ENSG00000272584	1E-2
ENSG00000078328	ENSG00000105428	1.2E-2
ENSG00000081803	ENSG00000105467	9E-3
ENSG00000002746	ENSG00000105507	1.4E-2
ENSG00000067715	ENSG00000105538	1.9E-2
ENSG00000085276	ENSG00000105549	9.6E-3
ENSG00000091831	ENSG00000105550	1.1E-2
ENSG00000083067	ENSG00000105641	1.4E-2
ENSG00000038945	ENSG00000105642	7.2E-3
ENSG00000060709	ENSG00000105642	7.1E-3
ENSG00000102935	ENSG00000105642	7.6E-3
ENSG00000075213	ENSG00000105649	1.3E-2
ENSG00000013297	ENSG00000105650	1.4E-2
ENSG00000102290	ENSG00000105697	1.6E-3
ENSG00000013297	ENSG00000105700	1.8E-2
ENSG00000082293	ENSG00000105707	1.2E-2
ENSG00000102935	ENSG00000105808	1.7E-2
ENSG00000091656	ENSG00000105825	9.2E-3
ENSG00000102290	ENSG00000105855	8.9E-3
ENSG00000041515	ENSG00000105880	5.5E-3
ENSG00000102290	ENSG00000105889	3.9E-3
ENSG00000081803	ENSG00000105894	1E-2
ENSG00000095777	ENSG00000105926	1.8E-2
ENSG00000075884	ENSG00000105971	1.5E-2
ENSG00000081803	ENSG00000105976	9.8E-3
ENSG00000091656	ENSG00000105976	1.1E-2
ENSG00000009694	ENSG00000105982	2.2E-2
ENSG00000041515	ENSG00000105989	2.2E-3
ENSG00000048471	ENSG00000105989	5.5E-3
ENSG00000075213	ENSG00000105997	9.7E-3
ENSG00000102290	ENSG00000106006	4.6E-3
ENSG00000041515	ENSG00000106025	6.2E-3
ENSG00000067715	ENSG00000106078	1.6E-2
ENSG00000101333	ENSG00000106078	1.8E-2
ENSG00000005108	ENSG00000106236	1.6E-2
ENSG00000100154	ENSG00000106236	1.6E-2
ENSG00000044524	ENSG00000106278	1.8E-2
ENSG00000047648	ENSG00000106278	1.6E-2
ENSG00000048052	ENSG00000106278	1.3E-2
ENSG00000075213	ENSG00000106278	1.3E-2
ENSG00000081803	ENSG00000106302	9.8E-3
ENSG00000041515	ENSG00000106304	8.2E-3
ENSG00000002746	ENSG00000106328	7.5E-3
ENSG00000046889	ENSG00000106328	4.2E-3
ENSG00000047617	ENSG00000106328	6E-3
ENSG00000069667	ENSG00000106328	5.7E-3
ENSG00000104044	ENSG00000106333	1.7E-2
ENSG00000041515	ENSG00000106341	7.3E-3
ENSG00000075884	ENSG00000106400	1.3E-2
ENSG00000046889	ENSG00000265594	1.1E-2
ENSG00000041515	ENSG00000106483	5.1E-3
ENSG00000102290	ENSG00000106536	3.6E-3
ENSG00000102290	ENSG00000106538	4.8E-3
ENSG00000104059	ENSG00000106633	1.8E-2
ENSG00000046889	ENSG00000106686	1.3E-2
ENSG00000081803	ENSG00000106686	9.1E-3
ENSG00000009694	ENSG00000106809	1.5E-2
ENSG00000072657	ENSG00000106809	1.4E-2
ENSG00000099139	ENSG00000106809	1.6E-2
ENSG00000047617	ENSG00000106823	2.2E-2
ENSG00000091656	ENSG00000106927	1E-2
ENSG00000091656	ENSG00000107014	8.4E-3
ENSG00000041515	ENSG00000107159	4.5E-3
ENSG00000081803	ENSG00000107165	1E-2
ENSG00000041515	ENSG00000107186	9.1E-3
ENSG00000048052	ENSG00000107242	1.4E-2
ENSG00000021645	ENSG00000107281	1.6E-2
ENSG00000042781	ENSG00000107295	2.8E-2
ENSG00000079841	ENSG00000107338	1.6E-2
ENSG00000069020	ENSG00000107485	2.9E-2
ENSG00000067715	ENSG00000272811	1.6E-2
ENSG00000075884	ENSG00000107566	1.6E-2
ENSG00000069667	ENSG00000266524	8.8E-3
ENSG00000046889	ENSG00000107771	1.1E-2
ENSG00000048052	ENSG00000107815	7.5E-3
ENSG00000099139	ENSG00000107831	1.6E-2
ENSG00000106571	ENSG00000107859	8.5E-3
ENSG00000102466	ENSG00000107902	1.5E-2
ENSG00000018236	ENSG00000107957	1.4E-2
ENSG00000102466	ENSG00000107957	2.2E-2
ENSG00000104044	ENSG00000108255	2E-2
ENSG00000101333	ENSG00000108468	1.1E-2
ENSG00000102290	ENSG00000108511	8.9E-3
ENSG00000046889	ENSG00000108576	6.8E-3
ENSG00000075213	ENSG00000108688	8.5E-3
ENSG00000102290	ENSG00000108688	3.1E-3
ENSG00000021645	ENSG00000108691	2E-2
ENSG00000021645	ENSG00000108700	2.2E-2
ENSG00000041515	ENSG00000108753	8.7E-3
ENSG00000013297	ENSG00000108759	1.4E-2
ENSG00000099139	ENSG00000108828	8.3E-3
ENSG00000079841	ENSG00000108846	1.7E-2
ENSG00000091656	ENSG00000108852	1.2E-2
ENSG00000083067	ENSG00000108878	1.2E-2
ENSG00000041515	ENSG00000108924	9E-3
ENSG00000102290	ENSG00000109061	2.2E-3
ENSG00000106536	ENSG00000109061	3.2E-3
ENSG00000082293	ENSG00000262062	1.6E-2
ENSG00000075213	ENSG00000109089	5.2E-3
ENSG00000102290	ENSG00000109089	2.4E-3
ENSG00000002746	ENSG00000264253	9.6E-3
ENSG00000046889	ENSG00000264253	4.8E-3
ENSG00000091656	ENSG00000264253	4.4E-3
ENSG00000041515	ENSG00000109132	1.9E-3
ENSG00000104375	ENSG00000109133	1.3E-2
ENSG00000060709	ENSG00000109158	2.4E-2
ENSG00000081803	ENSG00000109163	1.2E-2
ENSG00000102290	ENSG00000109182	7.7E-3
ENSG00000095777	ENSG00000109193	1.3E-2
ENSG00000041515	ENSG00000109205	3.4E-3
ENSG00000104044	ENSG00000109205	9.3E-3
ENSG00000018236	ENSG00000109208	4.3E-3
ENSG00000041515	ENSG00000109208	2.6E-3
ENSG00000078295	ENSG00000109208	1E-2
ENSG00000095777	ENSG00000109208	5.9E-3
ENSG00000104044	ENSG00000109208	7.8E-3
ENSG00000058091	ENSG00000109436	1.4E-2
ENSG00000060718	ENSG00000109452	2.1E-2
ENSG00000091656	ENSG00000109472	1.2E-2
ENSG00000060718	ENSG00000109511	4.3E-3
ENSG00000046889	ENSG00000109610	1.1E-2
ENSG00000106571	ENSG00000109654	2.3E-2
ENSG00000021645	ENSG00000109667	1.9E-2
ENSG00000104447	ENSG00000109738	1.3E-2
ENSG00000105778	ENSG00000109738	1.2E-2
ENSG00000099139	ENSG00000109794	2.9E-2
ENSG00000044524	ENSG00000109819	2.2E-2
ENSG00000048052	ENSG00000109819	1.2E-2
ENSG00000079841	ENSG00000109819	1E-2
ENSG00000102290	ENSG00000109819	5.1E-3
ENSG00000041515	ENSG00000109832	3.2E-3
ENSG00000079841	ENSG00000109832	5.8E-3
ENSG00000066032	ENSG00000263007	1.2E-2
ENSG00000083067	ENSG00000263007	1.3E-2
ENSG00000107611	ENSG00000263007	1.2E-2
ENSG00000104447	ENSG00000109943	1.1E-2
ENSG00000069020	ENSG00000109944	1.7E-2
ENSG00000104447	ENSG00000109944	1.2E-2
ENSG00000102290	ENSG00000110025	6.1E-3
ENSG00000005108	ENSG00000110042	1.5E-2
ENSG00000100154	ENSG00000110042	1.4E-2
ENSG00000104447	ENSG00000110079	1.4E-2
ENSG00000102290	ENSG00000110092	7.4E-3
ENSG00000021645	ENSG00000110237	2E-2
ENSG00000048471	ENSG00000110237	1.6E-2
ENSG00000007174	ENSG00000110244	7.9E-3
ENSG00000042781	ENSG00000110375	9.7E-3
ENSG00000078328	ENSG00000110375	1E-2
ENSG00000109339	ENSG00000110395	1.5E-2
ENSG00000079841	ENSG00000110436	4.9E-3
ENSG00000106536	ENSG00000110436	4.4E-3
ENSG00000075213	ENSG00000110484	1.4E-2
ENSG00000102935	ENSG00000110492	8.8E-3
ENSG00000058091	ENSG00000110660	2.2E-2
ENSG00000106536	ENSG00000262933	1.3E-2
ENSG00000040731	ENSG00000110723	1.3E-2
ENSG00000038945	ENSG00000110777	7.6E-3
ENSG00000058091	ENSG00000110777	5.9E-3
ENSG00000102935	ENSG00000110777	6.1E-3
ENSG00000067715	ENSG00000110841	2.3E-2
ENSG00000069667	ENSG00000110876	1.6E-2
ENSG00000072657	ENSG00000110881	1.3E-2
ENSG00000099139	ENSG00000110881	1.3E-2
ENSG00000018236	ENSG00000110887	6.7E-3
ENSG00000069020	ENSG00000110934	9.7E-3
ENSG00000075884	ENSG00000110934	9.6E-3
ENSG00000067715	ENSG00000111046	1.6E-2
ENSG00000083067	ENSG00000111077	1.9E-2
ENSG00000104059	ENSG00000111077	1.8E-2
ENSG00000005108	ENSG00000111110	1.1E-2
ENSG00000058091	ENSG00000111145	1.2E-2
ENSG00000002746	ENSG00000111181	9E-3
ENSG00000041515	ENSG00000111186	6.3E-3
ENSG00000018236	ENSG00000111241	8.4E-3
ENSG00000047617	ENSG00000111254	1.2E-2
ENSG00000091656	ENSG00000111262	7.6E-3
ENSG00000002746	ENSG00000111291	1.4E-2
ENSG00000091656	ENSG00000111291	6.8E-3
ENSG00000107611	ENSG00000111291	1.1E-2
ENSG00000013297	ENSG00000111325	1.6E-2
ENSG00000060718	ENSG00000111341	2.2E-2
ENSG00000109452	ENSG00000111341	2.1E-2
ENSG00000067715	ENSG00000111344	1E-2
ENSG00000101333	ENSG00000111404	2.5E-2
ENSG00000102290	ENSG00000111405	2.4E-3
ENSG00000104059	ENSG00000111405	6.2E-3
ENSG00000106536	ENSG00000111405	4.1E-3
ENSG00000038945	ENSG00000111412	1.7E-2
ENSG00000058091	ENSG00000111412	1.2E-2
ENSG00000060709	ENSG00000111412	1.2E-2
ENSG00000041515	ENSG00000111432	6.1E-3
ENSG00000046889	ENSG00000111641	1.1E-2
ENSG00000106571	ENSG00000268462	1.5E-2
ENSG00000009694	ENSG00000269528	1E-2
ENSG00000099139	ENSG00000269528	1.5E-2
ENSG00000079841	ENSG00000111701	1.2E-2
ENSG00000040731	ENSG00000111704	6.4E-3
ENSG00000041515	ENSG00000111704	3.5E-3
ENSG00000048471	ENSG00000111704	9.9E-3
ENSG00000109339	ENSG00000111732	1.3E-2
ENSG00000069667	ENSG00000111796	2.5E-2
ENSG00000081803	ENSG00000111837	8.1E-3
ENSG00000002746	ENSG00000111863	1.1E-2
