# Gene_A	Gene_B	Weight
ENSG00000145216	ENSG00000151657	6.1E-3
ENSG00000147202	ENSG00000151715	1.7E-2
ENSG00000146592	ENSG00000151726	6.4E-3
ENSG00000048471	ENSG00000151846	1E-2
ENSG00000145191	ENSG00000151876	2.1E-2
ENSG00000146143	ENSG00000151876	2.3E-2
ENSG00000075884	ENSG00000151883	1.4E-2
ENSG00000145416	ENSG00000152193	1.6E-2
ENSG00000127124	ENSG00000152208	1.6E-2
ENSG00000149571	ENSG00000152208	5.7E-3
ENSG00000099139	ENSG00000152217	1.2E-2
ENSG00000112530	ENSG00000262563	5.1E-3
ENSG00000113448	ENSG00000262563	1.2E-2
ENSG00000127124	ENSG00000262563	1.4E-2
ENSG00000131018	ENSG00000261923	1.2E-2
ENSG00000122507	ENSG00000152359	2E-2
ENSG00000081853	ENSG00000152467	2.4E-2
ENSG00000112530	ENSG00000152467	8.1E-3
ENSG00000141837	ENSG00000152467	2.5E-2
ENSG00000114861	ENSG00000152518	6.7E-3
ENSG00000145216	ENSG00000152518	3.2E-3
ENSG00000152061	ENSG00000152520	1.9E-2
ENSG00000132549	ENSG00000152601	2.8E-2
ENSG00000113448	ENSG00000152767	1.1E-2
ENSG00000151320	ENSG00000152767	1.1E-2
ENSG00000145216	ENSG00000152795	8E-3
ENSG00000069667	ENSG00000152818	9E-3
ENSG00000060709	ENSG00000153002	2.2E-2
ENSG00000151914	ENSG00000153002	2.1E-2
ENSG00000145216	ENSG00000153015	6E-3
ENSG00000114861	ENSG00000153064	9.3E-3
ENSG00000128815	ENSG00000153064	8.2E-3
ENSG00000152818	ENSG00000153064	6.5E-3
ENSG00000152894	ENSG00000153064	1.7E-2
ENSG00000114861	ENSG00000153094	5.6E-3
ENSG00000145216	ENSG00000153094	2.9E-3
ENSG00000152061	ENSG00000153113	1.5E-2
ENSG00000145012	ENSG00000153179	9.1E-3
ENSG00000146592	ENSG00000153179	8.3E-3
ENSG00000145216	ENSG00000153187	8.1E-3
ENSG00000114861	ENSG00000153201	1.4E-2
ENSG00000114861	ENSG00000153283	1.3E-2
ENSG00000149571	ENSG00000153303	8.3E-3
ENSG00000075884	ENSG00000153310	3.2E-3
ENSG00000141837	ENSG00000153404	1.8E-2
ENSG00000081853	ENSG00000153443	8.3E-3
ENSG00000128815	ENSG00000153551	1.1E-2
ENSG00000145216	ENSG00000153774	4.6E-3
ENSG00000145416	ENSG00000153823	2.4E-2
ENSG00000149571	ENSG00000153944	6.4E-3
ENSG00000048471	ENSG00000154001	7E-3
ENSG00000132549	ENSG00000154001	8.5E-3
ENSG00000152061	ENSG00000154001	8.4E-3
ENSG00000152894	ENSG00000154059	1.7E-2
ENSG00000048471	ENSG00000154114	1.2E-2
ENSG00000132549	ENSG00000154114	1.5E-2
ENSG00000152818	ENSG00000154144	1E-2
ENSG00000109452	ENSG00000154153	1.1E-2
ENSG00000152894	ENSG00000154153	9.7E-3
ENSG00000138829	ENSG00000154165	7.8E-3
ENSG00000099139	ENSG00000154229	1.4E-2
ENSG00000109452	ENSG00000154229	1.3E-2
ENSG00000152818	ENSG00000154310	7.7E-3
ENSG00000146143	ENSG00000154518	7.6E-3
ENSG00000147202	ENSG00000154642	1.8E-2
ENSG00000138829	ENSG00000154721	1E-2
ENSG00000145191	ENSG00000154767	1.4E-2
ENSG00000145191	ENSG00000154832	1.4E-2
ENSG00000055609	ENSG00000154997	2.2E-2
ENSG00000147202	ENSG00000155130	8.3E-3
ENSG00000048471	ENSG00000155189	9.1E-3
ENSG00000152894	ENSG00000155189	7.5E-3
ENSG00000153064	ENSG00000155189	8.1E-3
ENSG00000138829	ENSG00000155275	1.1E-2
ENSG00000144455	ENSG00000155368	7.1E-3
ENSG00000153823	ENSG00000155393	2E-2
ENSG00000145216	ENSG00000155438	4.1E-3
ENSG00000152818	ENSG00000155561	5E-3
ENSG00000131374	ENSG00000155629	1.9E-2
ENSG00000113448	ENSG00000155666	1.6E-2
ENSG00000152208	ENSG00000155666	1.7E-2
ENSG00000120594	ENSG00000155744	1.3E-2
ENSG00000131018	ENSG00000155893	1.5E-2
ENSG00000127603	ENSG00000155903	1.6E-2
ENSG00000075884	ENSG00000156052	4E-3
ENSG00000131018	ENSG00000156052	4.2E-3
ENSG00000146592	ENSG00000156052	6E-3
ENSG00000147202	ENSG00000156052	4.3E-3
ENSG00000144455	ENSG00000156127	1.5E-2
ENSG00000132549	ENSG00000156256	9E-3
ENSG00000145216	ENSG00000156261	3.8E-3
ENSG00000148219	ENSG00000156269	2.2E-2
ENSG00000145416	ENSG00000156273	6.4E-3
ENSG00000112530	ENSG00000156299	4E-3
ENSG00000149571	ENSG00000156299	3.7E-3
ENSG00000075884	ENSG00000156313	1.4E-2
ENSG00000145216	ENSG00000156384	5.1E-3
ENSG00000145216	ENSG00000156502	5.9E-3
ENSG00000145216	ENSG00000156508	4.5E-3
ENSG00000081853	ENSG00000156599	9.9E-3
ENSG00000145216	ENSG00000156709	4.5E-3
ENSG00000152894	ENSG00000156738	1.9E-2
ENSG00000153064	ENSG00000156738	2E-2
ENSG00000069667	ENSG00000156787	2.3E-2
ENSG00000075884	ENSG00000156875	1.3E-2
ENSG00000151322	ENSG00000156885	1.1E-2
